time,request_rate,pods,cpu,memory,latency,prob_30s,prob_60s,action,reason,spike_desc,latency_violation,cpu_overload
72,35.0,2,31.0,24.625,72.22478956251958,0.012972805,0.010726203,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
73,35.0,2,31.0,24.625,75.250636108817,0.009345541,0.009623935,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
74,35.0,2,31.0,24.625,71.10219684260944,0.011030188,0.011422134,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
75,35.0,2,31.0,24.625,72.43251332874614,0.0117526,0.01261014,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
76,35.0,2,31.0,24.625,74.70471977049552,0.012789453,0.010557754,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
77,35.0,2,31.0,24.625,75.70076371203214,0.011035078,0.012179478,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
78,35.0,2,31.0,24.625,76.91647144094281,0.010658187,0.008486897,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
79,35.0,2,31.0,24.625,74.71658455847702,0.01012072,0.009590841,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
80,35.0,2,31.0,24.625,73.90697512397516,0.010878372,0.008840988,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
81,35.0,2,31.0,24.625,74.87584533950297,0.010658187,0.008486897,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
82,35.0,2,31.0,24.625,75.330411772831,0.0124548245,0.010412769,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
83,35.0,2,31.0,24.625,74.87540843380665,0.010886697,0.0087044,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
84,35.0,2,31.0,24.625,74.62187923208771,0.009125253,0.009777987,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
85,35.0,2,31.0,24.625,74.05204370750387,0.010736018,0.009181301,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
86,35.0,2,31.0,24.625,74.18600066594453,0.009241868,0.0082595125,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
87,35.0,2,31.0,24.625,78.94528487559171,0.012711651,0.010846335,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
88,35.0,2,31.0,24.625,74.24105594585556,0.010747682,0.009335948,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
89,35.0,2,31.0,24.625,77.4505634298769,0.012711651,0.010443568,HOLD,"Holding: prob_30s=0.01, prob_60s=0.01, CPU=31.0%",✅ NORMAL LOAD - 35 req/s,False,False
